id	name	ping_1	ping_2	ping_3	ping_4	ping_5	ping_6	ping_7	ping_8	zhang_1	zhang_2	StructuredFund
512500	华夏中证500ETF行情吧档案			2.1662	0.4742	2.1446	0.4694	2.1630	0.15%	0.0216	1.01%	True
510580	易方达中证500ETF行情吧档案			4.3294	0.6671	4.2865	0.6605	4.4100	-1.86%	0.0429	1.00%	True
510520	诺安中证500ETF行情吧档案			1.1303	1.1303	1.1191	1.1191	1.1450	-1.30%	0.0112	1.00%	True
159935	景顺长城中证500ETF行情吧档案			1.2011	1.2011	1.1892	1.1892	1.1990	0.17%	0.0119	1.00%	True
510560	国寿安保中证500ETF行情吧档案			0.9298	0.4305	0.9206	0.4263	0.9260	0.41%	0.0092	1.00%	True
150308	富国中证体育产业指数分级B行情吧档案			0.9420	0.0490	0.9330	0.0490	1.0510	-11.57%	0.0090	0.96%	True
159953	广发中证全指工业ETF行情吧档案			0.6723	0.6723	0.6659	0.6659	0.6800	-1.15%	0.0064	0.96%	True
510440	中证500沪市ETF行情吧档案			1.3120	1.3120	1.3000	1.3000	1.3020	0.76%	0.0120	0.92%	True
150326	工银中证高铁产业指数分级B行情吧档案			1.1349	0.0566	1.1247	0.0561	1.5490	-36.49%	0.0102	0.91%	True
159959	银华中证央企结构调整ETF行情吧档案			0.9913	0.9913	0.9825	0.9825	0.9850	0.64%	0.0088	0.90%	True
512200	南方中证房地产ETF行情吧档案			0.7339	0.7339	0.7274	0.7274	0.7330	0.12%	0.0065	0.89%	True
150310	信诚中证信息安全指数分级B行情吧档案			0.9450	---	0.9370	---	1.1380	-20.42%	0.0080	0.85%	True
512220	景顺中证TMT150ETF行情吧档案			0.9892	0.9892	0.9810	0.9810	0.9980	-0.89%	0.0082	0.84%	True
159939	广发中证全指信息技术ETF行情吧档案			0.7691	0.7691	0.7630	0.7630	0.7690	0.01%	0.0061	0.80%	True
512660	国泰中证军工ETF行情吧档案			0.6561	0.6561	0.6509	0.6509	0.6560	0.02%	0.0052	0.80%	True
